"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30 июл. 2021 г.","7,937","7,942","7,951","7,790","","2,00%"
"29 июл. 2021 г.","7,781","7,800","7,811","7,746","","-0,64%"
"28 июл. 2021 г.","7,831","7,881","7,987","7,777","","-1,09%"
"27 июл. 2021 г.","7,918","7,875","8,105","7,875","","1,55%"
"26 июл. 2021 г.","7,797","7,807","7,840","7,757","","0,55%"
"23 июл. 2021 г.","7,755","7,684","7,794","7,684","","-0,69%"
"22 июл. 2021 г.","7,809","7,762","7,838","7,719","","-0,16%"
"21 июл. 2021 г.","7,821","7,959","7,985","7,813","","-3,37%"
"20 июл. 2021 г.","8,094","8,184","8,266","7,996","","-2,13%"
"19 июл. 2021 г.","8,270","8,083","8,361","8,018","","5,64%"
"16 июл. 2021 г.","7,828","7,600","7,849","7,575","","1,69%"
"15 июл. 2021 г.","7,698","7,830","7,863","7,696","","-0,15%"
"14 июл. 2021 г.","7,710","7,649","7,814","7,625","","-0,45%"
"13 июл. 2021 г.","7,745","7,673","7,777","7,582","","0,74%"
"12 июл. 2021 г.","7,688","7,630","7,694","7,610","","1,02%"
"09 июл. 2021 г.","7,610","7,676","7,711","7,534","","-2,65%"
"08 июл. 2021 г.","7,817","7,960","7,967","7,751","","2,77%"
"07 июл. 2021 г.","7,606","7,531","7,734","7,526","","0,50%"
"06 июл. 2021 г.","7,568","7,468","7,698","7,467","","0,85%"
"02 июл. 2021 г.","7,505","7,416","7,513","7,348","","-0,21%"
"01 июл. 2021 г.","7,521","7,520","7,576","7,495","","-0,70%"
"30 июн. 2021 г.","7,574","7,611","7,647","7,503","","-0,14%"
"29 июн. 2021 г.","7,585","7,410","7,592","7,407","","1,41%"
"28 июн. 2021 г.","7,479","7,447","7,548","7,416","","-0,49%"
"25 июн. 2021 г.","7,516","7,493","7,559","7,481","","-0,07%"
"24 июн. 2021 г.","7,521","7,490","7,546","7,457","","-1,27%"
"23 июн. 2021 г.","7,618","7,628","7,656","7,544","","-1,37%"
"22 июн. 2021 г.","7,723","7,940","7,948","7,715","","-1,72%"
"21 июн. 2021 г.","7,859","7,939","8,054","7,783","","-3,06%"
"18 июн. 2021 г.","8,106","8,003","8,138","7,895","","4,41%"
"17 июн. 2021 г.","7,764","7,829","7,883","7,664","","-0,77%"
"16 июн. 2021 г.","7,824","7,712","7,916","7,668","","0,81%"
"15 июн. 2021 г.","7,761","7,722","7,826","7,717","","1,22%"
"14 июн. 2021 г.","7,668","7,624","7,753","7,610","","0,48%"
"11 июн. 2021 г.","7,631","7,619","7,644","7,550","","-0,94%"
"10 июн. 2021 г.","7,703","7,946","7,950","7,680","","-4,31%"
"09 июн. 2021 г.","8,050","7,923","8,085","7,923","","1,40%"
"08 июн. 2021 г.","7,939","7,890","8,062","7,860","","0,06%"
"07 июн. 2021 г.","7,934","8,009","8,056","7,925","","-0,77%"
"04 июн. 2021 г.","7,996","8,108","8,108","7,987","","-3,21%"
"03 июн. 2021 г.","8,261","8,291","8,340","8,172","","1,09%"
"02 июн. 2021 г.","8,172","8,131","8,195","8,015","","0,15%"
"01 июн. 2021 г.","8,160","7,976","8,167","7,958","","0,94%"
"28 мая 2021 г.","8,083","7,977","8,101","7,957","","0,46%"
"27 мая 2021 г.","8,046","8,276","8,283","8,032","","-3,08%"
"26 мая 2021 г.","8,302","8,477","8,489","8,276","","-2,80%"
"25 мая 2021 г.","8,542","8,444","8,602","8,443","","0,83%"
"24 мая 2021 г.","8,471","8,621","8,622","8,407","","-2,83%"
