,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
AJG,0.0010080150071752824,0.016189757978584976,0.0015689747620011,0.5553618134263295,-37.48626275700979,165,0.8864570924298982,0.0006263794251547059,0.05490924504884793,-0.023633829520083055,-0.03808306984451567,0.00039515259482654106,0.26002416783421783,0.053097546675332105
AKAM,0.00048258168555003313,0.019008722836076533,0.0014817860162033,0.5466434176111595,-30.128361003206937,295,0.73759157293339,0.00016503536364256035,0.01912459188538775,-0.028600375905935102,-0.04570873390553628,0.0003487854203677835,0.7487469058154204,0.003152194999516927
ALB,0.0009253269115372433,0.02976954474221254,0.0011449915428749,0.5239755884917175,-62.968350195710485,727,1.264605568284993,0.00038089166904176834,0.027084031666306893,-0.04406454284629211,-0.0697836361073064,0.0005129345796044043,0.9577434559709385,0.020180267985162623
ALGN,0.0006624288357888317,0.03352131884961826,0.0005261246617151,0.5082824760244115,-68.5143559972233,522,1.5056508166834108,1.421931651063768e-05,0.016210019038299283,-0.046213081031941806,-0.07554253451826047,0.0005880129934825499,1.6963011824201106,0.00847504703667742
ALK,-1.0229448710403086e-05,0.030228389875338674,-0.0001944805788667,0.4934612031386225,-68.50688379251757,5,1.2850337293832854,-0.0005634593787513144,-0.0042766772656816455,-0.0412723292509918,-0.06805813976909603,0.0005192973432095677,-89.32598230110014,-0.01768500549200825
ALL,0.00026745598377995463,0.01719761629300516,0.0010267838047826,0.5396687009590235,-41.68192758229971,363,0.8565719266014775,-0.00010131350155967884,0.008629589252592999,-0.02433028351031465,-0.04254138843289507,0.0003858442559823147,1.1058193650465005,-0.012770907561193257
ALLE,0.0003960683107637267,0.0186511296693485,0.0013130840068222,0.5300784655623365,-43.41252560982972,307,0.9851010518669989,-2.803525441596609e-05,0.014852756729870737,-0.02894049704796383,-0.044204893047998725,0.00042587724948124053,0.8782945479078466,-0.0026635551739799587
AMAT,0.0009907141684214512,0.029198838451671604,0.001241261644576,0.5292066259808196,-52.945951170389286,425,1.5896811605167767,0.00030632808803263383,0.02985278167200278,-0.04694921711967631,-0.06561556633894632,0.0006141859422320582,0.8605632119759196,0.02650645737275261
AMCR,0.0002442082021372443,0.01882147238740866,0.0,0.3836094158674804,-49.576273617885136,709,0.7777974637840765,-9.064747257082212e-05,0.0066498826719505865,-0.02902215262019333,-0.04335040452179331,0.00036130835759091447,1.4505975627751453,-0.01176518976447421
AMD,0.002447016560428184,0.03579371262959577,0.0007638135743193,0.5143853530950305,-54.499415414326144,182,1.5457592848843809,0.0017815396305369473,0.06503848777775852,-0.05328430095612033,-0.07583861839914449,0.0006005055864526198,0.5235722081038546,0.06754608361236707
AME,0.0005660824791923893,0.01797632764708101,0.0008918348089392,0.5283347863993025,-42.85293664276975,161,1.0894236438883544,9.706617828757327e-05,0.024867974645386464,-0.024950507271547347,-0.04160800125170898,0.0004583706290133453,0.5708503045991353,0.013307307528785308
AMGN,0.00043093282189083645,0.016430279774348147,0.0004750415076497,0.5196163905841326,-25.065786274681212,272,0.7267167773226716,0.00011806829336929623,0.018982342791882927,-0.02471798871133166,-0.037380193003912154,0.00034539824550693647,0.626441245015536,3.0465813441884554e-05
AMP,0.0006608626781612678,0.025971429192304895,0.0016721727210962,0.5309503051438536,-54.47154454507858,710,1.593302620560814,-2.508250533978483e-05,0.020861965473743888,-0.03647343012294314,-0.05884537061564414,0.0006153139191485749,1.0206585370619274,0.014086032687799349
AMT,0.0006818890624719247,0.0177770544199278,0.0009896746995892,0.5309503051438536,-30.28804959409477,229,0.784577700720994,0.0003441143748846619,0.031661119448077354,-0.02682420572192889,-0.039859998487312205,0.0003634201994061922,0.4634531938427831,0.01734397338961605
