,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2020-01-31,-0.1405994798521105,0.04582363304617981,0.1157509680090402,0.007087611277602067,0.006980980969882951,-0.053119786877697396,-0.05132777802918758,0.10635458159611516,-0.08814799179462153,0.00791445616136515,-0.008407635782792116,0.10004158639435319,0.11480330125829465,0.09196427233759338,0.025882549667798353,0.044465727280136924,-0.0378354353595865,0.17562468932622793,0.002402006217109306,0.08074641636601891,0.14261378582324055,0.016774967458374757,0.22237227319459363,-0.10685109209103304,-0.13214257657782164,-0.03723386007246347,0.016025153171221232,0.04557745732355952,0.012431097058235889,-0.029666378899131905,-0.05679729538914983,-0.12332035807246691,0.008743596723342217,-0.11763751573992118,0.2518943318932206,-0.041296115350945815,-0.009794046949640475,0.08488852985479586,-0.09550324002189271,-0.008644127805507733,-0.10703486819859884,-0.1405994798521105,-0.12927928510130918,-0.04509368506709175
2020-02-29,-0.17836410161872857,-0.1356429656501793,-0.12933506251637283,-0.11732071802431607,-0.12399933026568886,-0.1889859155163799,-0.1513634977026312,-0.050958514174475444,-0.16542276157826852,-0.0850085646925346,-0.13609679873727712,-0.1847814659900813,-0.1673667652223537,-0.1834830236156772,-0.16227453622330812,-0.16779489449506998,-0.157104718503824,-0.0839433053721228,-0.1508007366253999,-0.1700351645776973,-0.11555444449382118,-0.13644326652994593,0.027694840222612396,-0.17459862840103135,-0.21446889626151736,-0.18187785057276132,-0.16266406723631835,-0.10002062733827986,-0.14337810309252866,-0.15500264159037735,-0.1741120142682963,-0.13251669547056094,-0.13847097036195474,-0.12670269961576872,0.2078669664733219,-0.20675588846889506,-0.19415521206367978,-0.14535031178769842,-0.14567991296146227,-0.19270943778753616,-0.19916777711166472,-0.17836410161872857,-0.24656753575060072,-0.164622755140264
2020-03-31,-0.1720719283449097,-0.18296433376950808,-0.21844943183903753,-0.17029394386249883,-0.18733181778490712,-0.1839861243147256,-0.18318581248039453,-0.201266395345209,-0.1737615129260196,-0.18115455680629824,-0.16995861221813166,-0.16505963197399026,-0.20059112840905927,-0.16046199745630993,-0.18827776943045407,-0.2202563041072345,-0.14356472931803616,-0.19137092403762143,-0.1412968748125259,-0.14768618016663598,-0.16376583746883497,-0.19437771050992875,-0.20434486206446145,-0.18616905212574641,-0.17244934386919564,-0.20917840697297826,-0.17963346345205114,-0.21284234503018395,-0.16273202246053028,-0.18022421443477718,-0.19687583311824744,-0.20117744291847975,-0.20331720562302505,-0.1951207745483599,-0.0963953916006066,-0.20921856423187704,-0.1864568691549444,-0.20983791008187516,-0.15786599143329386,-0.17911553325882484,-0.18300367102209486,-0.1720719283449097,-0.20402282360210428,0.019091962776127274
2020-04-30,0.2515499739003729,0.30546876048554933,0.34929639290676917,0.31349855600448256,0.28765001546759517,0.29205450284306567,0.3033923037880191,0.37061084800855715,0.2515640745452185,0.2887533961551498,0.3081988407398788,0.29575262139690106,0.2870649019503814,0.3097546090684239,0.29516915971309376,0.3149306293934363,0.279648856576072,0.2984157164842,0.2811418006928959,0.28561933552509633,0.22053401153941077,0.3149194480557782,0.3798653430605954,0.24196531194279225,0.22134587516854692,0.3442090056334136,0.32940437799963845,0.4135159934175895,0.3423020963720618,0.30375979879076015,0.3520724152675141,0.3472887615956632,0.3600048273115384,0.3611371111656084,0.273791165592962,0.3176808060630417,0.34048437057338976,0.2971074355338907,0.3522396242296823,0.3165054322905242,0.3184656623160846,0.2515499739003729,0.30524322029693285,0.2452063095628173
2020-05-31,0.11857268130873022,0.17746122131419817,0.17510865309072296,0.16442666149470983,0.1462710674187362,0.1517602902404875,0.1493589972062438,0.15928636567281365,0.12390117667013478,0.17982029692092563,0.18727891493069923,0.16718129815336485,0.17960417158206082,0.1656468867860957,0.15277839247092168,0.14213235681794453,0.18929804033214237,0.1901940658107976,0.17709360578081831,0.18453575390385674,0.1670187073219754,0.1512605714915745,0.2740642236898689,0.18139106046968156,0.10771854594799506,0.12685061630772287,0.1502483329087746,0.1425214782483529,0.13403178559340495,0.11057763144764059,0.13165356934006286,0.09692882192909037,0.12058888495184365,0.08402432975476194,0.4321439661485348,0.10533312237616844,0.15006686441941905,0.1483310541616281,0.14444979559354362,0.13629602284812234,0.10675671488362448,0.11857268130873022,0.11962012384576445,0.5602171511849844
2020-06-30,0.11195032506435919,0.10308193505737054,0.12865239770025388,0.08593323698011841,0.14493388060263118,0.09740391860559726,0.09668868944915988,0.12647044913545225,0.09426483652543813,0.13327208765897466,0.10351832628397195,0.11456008237370016,0.1198622672027094,0.1155416964895984,0.12808325132169768,0.09882744160190524,0.11690081727836378,0.09704320323253596,0.0810892687961814,0.0805005812807128,0.09082594601772974,0.1449340560875434,0.1653673664327898,0.10734754135054497,0.08678015614002675,0.12383342939325734,0.09121862894418395,0.0992536042821028,0.08405475840744375,0.07927990186232005,0.0815618402119941,0.1395033921483989,0.07949593050621671,0.1354671436836595,-0.07767763297574701,0.12416287464497237,0.08558022537753089,0.1524256682266132,0.11643699381987603,0.10084651294556927,0.09701885027577596,0.11195032506435919,0.10371918195645342,0.15082108828389848
2020-07-31,0.08658403191915423,0.2567099767444544,0.15682567730969846,0.21638339298280843,0.18004500795076195,0.17585335747371675,0.1954220699047025,0.22220073799757514,0.1628745666787236,0.23506748291741394,0.1865126111008654,0.30049599524614273,0.2523569096697346,0.30817306485566115,0.17450802988911956,0.08365740019100555,0.11570398029970295,0.09984112668957817,0.05516226627067612,0.16281647684780318,0.024671787393612987,0.16994910851189693,0.22053824441195324,0.09770414829646058,0.04105324984841959,0.12754752378058284,0.14002705081460481,0.07210284566109196,0.1398850403010034,0.05620457849059793,0.08244856942986521,0.0603238436445772,0.1810503265760744,0.06682787105225174,0.23356140386656202,0.12620494170396568,0.2066820995753121,0.12093559146501762,0.18736144528582827,0.22393019523252666,0.1478776672965282,0.08658403191915423,0.05898671008634983,0.1263049295302809
2020-08-31,0.3675329921186766,0.6012086746485992,0.7358811052611054,0.7487790565199756,0.6805903164808522,0.6760367410861544,0.6722198707128783,0.5883715921715269,0.6390383175050562,0.6071090636159951,0.5216059961655642,0.6603249152312493,0.5896142249081633,0.6007361695309676,0.7102533555783133,0.4640160227070576,0.36515952899991017,0.6235536286138954,0.5482459856244782,0.4517776485999295,0.62820669415465,0.5483002703766796,0.7677086334791398,0.3731165411528721,0.3809699213325542,0.4871007030694524,0.6460926872836619,0.5746037056516335,0.4614644367727857,0.451924458554837,0.6004739029131085,0.4233089784149303,0.6577095649243149,0.47396660016608566,0.47340431365553814,0.5292648072948729,0.5969732197887542,0.6385188937757107,0.6197567894840168,0.5567593946234908,0.6717600003208876,0.3675329921186766,0.38878584432982394,0.692434680761579
2020-09-30,0.022055750766090673,-0.03607555779197608,-0.031103735327735513,-0.0257439044939145,-0.014072428941129183,-0.03880504535632604,-0.02261987392809494,0.05681967836046127,-0.01733570819410223,0.015037805893785729,0.007609896385812035,-0.053729912153901695,-0.06203881349739329,-0.07174368535486847,-0.020716593780223547,-0.049571187314753164,0.02538231823819937,0.041790521306153905,0.00339816249038323,0.08000519874186472,0.05731863399955628,-0.05491577055123716,0.029901625328006085,0.0033781900416755624,-0.008716026201575695,-0.048853652249206105,-0.048568661090871074,-0.04365070670452499,-0.030838609159120085,-0.053554090922361595,-0.08271932653910213,-0.08902047110896892,-0.08469625532323263,-0.06627461336989875,0.24924931488047666,-0.06666700855792326,-0.03234936932797945,-0.005789100914102353,-0.06906919532753344,-0.015166555701467738,-0.08008196320731548,0.022055750766090673,-0.0607252501840118,-0.02564967320486999
2020-10-31,-0.001452130104009045,-0.06273921207407823,-0.06209135938181121,-0.06774066267108982,-0.01539961224233731,-0.016873093973879295,-0.03699500753001873,-0.03565483739399457,-0.05652753710072688,-0.006214640542898152,-0.007309182223838436,-0.07938687281751895,-0.07764511629284211,-0.09084614426962521,-0.06342858826511422,-0.08060382696616497,-0.12830816066479406,-0.09303783279872484,-0.09103625559796315,0.00938615093109738,-0.10492571805254022,-0.0744467463881505,-0.06869906043488602,-0.02971920911936974,-0.027666093768822734,-0.07334940499805623,-0.09019545822099158,-0.13816299498835047,-0.03415080978798775,-0.08402862246879693,-0.08180176358101077,-0.0668669077757021,-0.12180857949066332,-0.09873293463416306,-0.07203428914130372,-0.007797712343568857,-0.006780838158581371,-0.06957092840667742,-0.02311242947453489,-0.011106456621851274,-0.02829762409354642,-0.001452130104009045,0.004609523341285345,-0.37349784355625965
