index,original_n,deco_pca_Kmean,deco_pca_Agglo,deco_pca_MiniB,deco_pca_Gauss,deco_pca_Spect,deco_fast_Kmean,deco_fast_Agglo,deco_fast_MiniB,deco_fast_Gauss,deco_fast_Spect,deco_isom_Kmean,deco_isom_Agglo,deco_isom_MiniB,deco_isom_Gauss,deco_isom_Spect,tabl__Kmean,tabl__Agglo,tabl__MiniB,tabl__Gauss,tabl__Spect,neur_conv_Kmean,neur_conv_Agglo,neur_conv_MiniB,neur_conv_Gauss,neur_conv_Spect,neur_mlp_Kmean,neur_mlp_Agglo,neur_mlp_MiniB,neur_mlp_Gauss,neur_mlp_Spect,neur_lstm_Kmean,neur_lstm_Agglo,neur_lstm_MiniB,neur_lstm_Gauss,neur_lstm_Spect,orig__Kmean,orig__Agglo,orig__MiniB,orig__Gauss,orig__Spect,orig__origi,orig__rando,sp500
2019-08-31,-0.0535482838866177,-0.06562029945732073,-0.0741539126460361,-0.07604782990312386,-0.06885475577262046,-0.06538036894213572,-0.06873520854375326,-0.07437010109817277,-0.06640612176557636,-0.0719775004523695,-0.0659878644587707,-0.06270883554755569,-0.06255615437070428,-0.05570086064191626,-0.06131346455970843,-0.05952881646318031,-0.05764221636041622,-0.05524878268705535,-0.05413433486194086,-0.05865339928918101,-0.05226499203857615,-0.06688232741201638,-0.07677267764455165,-0.07122914267524028,-0.06121564247043354,-0.07044896296249481,-0.05629445219403717,-0.06730144706989505,-0.055189055617584803,-0.05558792524969258,-0.06910317445033853,-0.07483870321936992,-0.07054023016296174,-0.07550998847563584,-0.08703250577289512,-0.07861986600316251,-0.07001302440685808,-0.07522558876109886,-0.07518108301451887,-0.060341756279715164,-0.06729087382167409,-0.0535482838866177,-0.07061996361213929,-0.037637851467508976
2019-09-30,-0.032129872733344556,-0.03753285206199908,-0.05328034411677984,-0.04153533905237372,-0.038054212748881766,-0.0383984649834207,-0.03884868517883178,-0.05249649587952865,-0.03328366821837914,-0.04234417218035447,-0.03912718497987344,-0.03615066079384732,-0.03252677913685853,-0.032339101101408696,-0.03736216119693825,-0.039391437283772035,-0.03370192801017169,-0.043657730462369204,-0.03278187075157801,-0.032217708893178765,-0.0349315139198112,-0.04014222264559797,-0.0564822535730396,-0.03571995156544028,-0.036080079041774904,-0.04716549520355262,-0.03442775619215521,-0.05880004176634501,-0.03226478821922363,-0.03412051948574435,-0.048373352578058415,-0.04456655639810858,-0.05004448632458525,-0.046160109080427,-0.09938639558958151,-0.0475934551409356,-0.04121307438623478,-0.04821524931086463,-0.04582793608051694,-0.03441715946741608,-0.04275246110953734,-0.032129872733344556,-0.04338226607885476,-0.014998962905565127
2019-10-31,-0.03145892697846031,-0.037725876025330174,-0.04788428754563967,-0.04025503472108971,-0.038558518393238095,-0.03795499903801425,-0.03808164238590761,-0.04372204786121381,-0.035411355105546605,-0.04045585373298288,-0.036091763050110304,-0.03409105776021848,-0.03350220204990306,-0.02857843470844912,-0.036129380947340084,-0.03903243311091753,-0.028838654486712523,-0.03441771925726711,-0.029214451936637187,-0.029195756162304298,-0.03343730664729894,-0.039909255172043356,-0.04960159974660838,-0.04166862170840624,-0.035406769005118854,-0.04247227224328609,-0.032737073159087915,-0.04798944231552815,-0.03169166284227243,-0.03065760811818552,-0.04304124370230966,-0.04505966241367976,-0.04341703088589699,-0.04781414281065122,-0.1044208775322063,-0.04271985268666323,-0.0371904348992903,-0.0457776308328629,-0.04241171838186675,-0.03253836003062616,-0.03681246239286873,-0.03145892697846031,-0.04176252677289727,-0.009788162332576955
2019-11-30,-0.026299846978957264,-0.02656899579084193,-0.034223986289443564,-0.03170905177905836,-0.026805515000791758,-0.027590178313026792,-0.027928360076273973,-0.03646854797007071,-0.027356034836287235,-0.030876489747926228,-0.02810066834774616,-0.030515390396517406,-0.02471366235815642,-0.023462542227395855,-0.029641488942063754,-0.03014721839953083,-0.02829274655988634,-0.02539056055340727,-0.020263532852812904,-0.021271559874654233,-0.020894467821027884,-0.030035689930604015,-0.03322700967568548,-0.03281685355929953,-0.026402129661261875,-0.03131213066353722,-0.02252592242185969,-0.03907507164972501,-0.024105858178247397,-0.023098006581970032,-0.03321916752483478,-0.036355864266864546,-0.03572378003968968,-0.03500935695319485,-0.06898212821579508,-0.03360745227404127,-0.02841384804697933,-0.034216461792590636,-0.03320632500760934,-0.027768255646781204,-0.027309956635018784,-0.026299846978957264,-0.03159960101088777,-0.008914877267507948
2019-12-31,-0.020742215613629322,-0.022795458306131278,-0.03038713308531993,-0.029995695943664136,-0.0240280256042803,-0.025216698916477043,-0.02559887713215636,-0.02966101246774533,-0.025724696557102744,-0.027312336367284695,-0.02447657433077821,-0.02500194842761083,-0.020950171103184756,-0.019886789898892476,-0.02287224641060126,-0.026546052725329727,-0.020981204283479382,-0.030557477717044756,-0.018201512877702664,-0.0174135712092085,-0.020769255152938593,-0.02775764418349158,-0.035984093419475505,-0.02446018309679132,-0.024455397276119117,-0.027077790545852576,-0.01977182518312226,-0.03263824301260154,-0.015964684945978025,-0.025531174822187364,-0.0276582496497787,-0.02856328045942802,-0.02857494331989352,-0.02863568355371693,-0.05281349297220994,-0.03284595242214827,-0.026158841049522708,-0.03270769866783252,-0.028740393412152843,-0.022681747665207364,-0.024130393229509273,-0.020742215613629322,-0.02928708831440663,-0.010319205609623627
2020-01-31,-0.042446387090269155,-0.03863727924149518,-0.04646499764750389,-0.04232288291445574,-0.038392668161825405,-0.04240565508864935,-0.04362486045699199,-0.042950020592098404,-0.04202186666001384,-0.04145442279523759,-0.039996283198989624,-0.03029952975293826,-0.026515708452594766,-0.02745979382403041,-0.03468700971091487,-0.04185395588776941,-0.0351461302713173,-0.043695958050005146,-0.03308356381876365,-0.03293580376926308,-0.03426014639051578,-0.04007853242445347,-0.05065742920476424,-0.04960004763145942,-0.04144913001038664,-0.04176231577532852,-0.038873794177219256,-0.0522355525475372,-0.03510583960708635,-0.03991887664596239,-0.05176390919332707,-0.04803804625554442,-0.041683516112092533,-0.04448806570509112,-0.08843976779213625,-0.046685993684962845,-0.0444074980446485,-0.047768252391020116,-0.04767623733970994,-0.037485367227750976,-0.04343571771678367,-0.042446387090269155,-0.04945477448467117,-0.023395811146665446
2020-02-29,-0.07980193027677351,-0.07716349498195874,-0.09804394620816748,-0.08772494346233528,-0.08212920111096067,-0.07919455737896042,-0.08009015484260706,-0.08905936160791839,-0.08290949232602862,-0.08005957614338799,-0.07972837077121597,-0.07306782658683142,-0.06521347946887657,-0.06930922152300134,-0.0796636541629766,-0.08994879267616174,-0.07285928730644509,-0.09781197687682486,-0.07596829180556053,-0.06879905774936135,-0.09661365339142414,-0.08398525033846849,-0.10495955601311424,-0.08894801742103886,-0.08124937057126291,-0.08817356436984347,-0.08397501000796226,-0.12004274398904402,-0.08148900479854526,-0.08414315828038654,-0.10548645278238789,-0.09433169598337787,-0.08606345611975708,-0.09020827555916355,-0.18588519889903699,-0.09993443346087494,-0.08235362800292845,-0.09923544210303303,-0.08943267094818086,-0.07279192890962571,-0.08683760060375523,-0.07980193027677351,-0.09756369074718507,-0.06567021377347715
2020-03-31,-0.3146924169553533,-0.3168379043863154,-0.3915304717754686,-0.31535788047327507,-0.3277379375516305,-0.3290779222331337,-0.33201059261685084,-0.3012539702944731,-0.3091078277203301,-0.3233589243377162,-0.3220801224118729,-0.2771936884324724,-0.2714048329006913,-0.26211038406141596,-0.31998012968555634,-0.37747137303103084,-0.25934584273236116,-0.3689661909867601,-0.26592250137920026,-0.2623064356230297,-0.3279041348720495,-0.3177133943550996,-0.36537156719606134,-0.3251894070091127,-0.3190602371121416,-0.3520398017472133,-0.3141309344011953,-0.4178070272759552,-0.2814271440595496,-0.3212429931588412,-0.3866529806087837,-0.35079079757739173,-0.34157873214969836,-0.34345691968586034,-0.4769936566291042,-0.36135728787369215,-0.3276079251837718,-0.3772491923703589,-0.3251373382634668,-0.2993413935858005,-0.3322029662606425,-0.3146924169553533,-0.35337368564665383,-0.15752216865334
2020-04-30,-0.14896473806822574,-0.14387998564437066,-0.17312618032435,-0.14074834822100368,-0.1580971064843718,-0.15053662855163563,-0.1526262570314354,-0.13142364964929443,-0.14866846276487478,-0.15117177109100965,-0.14143239925294315,-0.12813417967551743,-0.14072073674097563,-0.12018099720923903,-0.1526006036683415,-0.1679559027086286,-0.10985046774854168,-0.1605607328819243,-0.12103366231812773,-0.11710886024467348,-0.150600434187524,-0.13914077511528022,-0.16498034669759942,-0.16298209054512747,-0.1553733294942884,-0.15029196714450688,-0.13842415532433494,-0.164732542962565,-0.12323548187163147,-0.14161202797403183,-0.16656878491815486,-0.1563556470396854,-0.1478818399882279,-0.14907886015932914,-0.20667172263537315,-0.16059133612591425,-0.14692702787078016,-0.18073376470283886,-0.1395030288796174,-0.1388272228074876,-0.15021419241185285,-0.14896473806822574,-0.16059020784234934,-0.05555295988552644
2020-05-31,-0.11138095637041445,-0.09955094411042587,-0.1294725215042387,-0.10345082947664042,-0.11090293251688743,-0.10941506681399282,-0.10502482465496987,-0.09658994958168354,-0.11399917090184963,-0.0966757010854592,-0.09497134554734721,-0.08457635658801699,-0.08608503094414244,-0.07554779289504232,-0.10040089379490291,-0.13201188244741013,-0.0835622097263643,-0.12544511281589488,-0.0914521667891659,-0.08661854027914306,-0.12065079295679626,-0.1048786792281764,-0.1078389470778438,-0.1149811270676192,-0.12175826227347075,-0.11976852860397535,-0.10748637714685594,-0.14127448670125187,-0.09458623597979499,-0.11129025669224002,-0.1340700515439508,-0.12060966161039266,-0.11703139359670744,-0.11929075098508335,-0.1406485552963881,-0.13619959342672006,-0.10377421128126607,-0.13512780940338176,-0.10738621628947764,-0.0975028211700244,-0.11761249773770177,-0.11138095637041445,-0.12793920330831332,-0.03289287817962805
2020-06-30,-0.12282086366139355,-0.10832046721499389,-0.14366138026176334,-0.1139606974837013,-0.11953413859617334,-0.11738567257150101,-0.11743146585965603,-0.09545194207536323,-0.12135576679398397,-0.1090266113901901,-0.11388971865764475,-0.09956611977304286,-0.09793180681538971,-0.09203039927957224,-0.1159606062194316,-0.1479145501831557,-0.089974305999734,-0.13751067611048196,-0.09856101746634127,-0.08749772081198304,-0.12773212739528572,-0.12006397116358036,-0.10885663319518846,-0.13083764762723138,-0.1315992817958741,-0.1275224197775764,-0.1179637877618579,-0.1591330550037211,-0.10356258629532678,-0.12234330238763413,-0.14657127399423653,-0.13280756781043634,-0.13032743272484582,-0.1336563870061115,-0.15679501605714985,-0.1533537479734075,-0.12182650462254319,-0.14942707311160275,-0.11737812268763848,-0.10821814676684627,-0.125502443828583,-0.12282086366139355,-0.14977195972115354,-0.0589078343474112
2020-07-31,-0.0599908022530633,-0.05532389903836055,-0.08446111422284619,-0.0598547081371994,-0.06293581119783609,-0.06262854228091952,-0.0625250954810026,-0.05977705636895647,-0.06497340078163494,-0.05968466433826991,-0.06031515905568241,-0.0499811059017351,-0.050614435454967244,-0.04646698822757134,-0.06039096268860045,-0.0787799897142829,-0.04769846482234841,-0.07647674339839361,-0.052102697056116365,-0.05080963935817706,-0.07447320959347026,-0.0638888484281801,-0.07571670780465511,-0.0733811409707954,-0.06871495422490337,-0.07206215172397523,-0.06189532818234578,-0.09206161769989973,-0.05472035963689392,-0.06337676277927495,-0.07740929127650742,-0.06878073070989354,-0.06945736201532515,-0.06585180814186786,-0.10733285839679219,-0.08258240468898304,-0.0626778135020245,-0.08787162095430079,-0.056643670843524396,-0.05545745682064562,-0.06160988051658178,-0.0599908022530633,-0.08087590887789431,-0.025351727338094987
2020-08-31,-0.0431453227631311,-0.03112546436975161,-0.03395478935775276,-0.027731683232399384,-0.02841450552298974,-0.029419004264681026,-0.029630673133637875,-0.03186883794701301,-0.027974831217560836,-0.031054289884261732,-0.03273274159140693,-0.026341914260637145,-0.026757761993815632,-0.024606821959340497,-0.026328971583722383,-0.03968652740139145,-0.030350254738143345,-0.036113099413828786,-0.028267474222938738,-0.036753216836463154,-0.031369318676892854,-0.035313616642624335,-0.03727205851645421,-0.043511589156208674,-0.04442783858918753,-0.03754351686042712,-0.02973556042891412,-0.04375418900938566,-0.03206453917888341,-0.036100097398448217,-0.035971744336989575,-0.04059919864431627,-0.030047726187029333,-0.03936492965386029,-0.09219192640130369,-0.04102575500946892,-0.0319690168072122,-0.03894344634934244,-0.03099328512639765,-0.030387291625647128,-0.030921210936071475,-0.0431453227631311,-0.04760298220385406,-0.02049563230252016
2020-09-30,-0.06050138726784826,-0.06695305166788235,-0.07913699078762881,-0.07052035078068697,-0.06916181174614822,-0.06540678630454888,-0.06729893785767127,-0.0724071656539863,-0.06542392163569088,-0.07182608758096809,-0.0671190324216353,-0.0674432229022961,-0.06642835544971726,-0.06581511908277426,-0.06556167522307577,-0.0751985165621184,-0.05625624405602114,-0.07838012414975959,-0.06087826578700961,-0.0623441464071699,-0.07018125486766769,-0.06842060173174447,-0.08861740449481537,-0.06772455113300002,-0.06469040295191975,-0.07365784207992498,-0.06931777415536244,-0.09142544175773082,-0.06839685342652813,-0.06474912260484256,-0.08046555352789564,-0.07771830997349727,-0.07445761161789455,-0.0781621428401118,-0.12822193902639245,-0.07433082295766602,-0.06378064926480187,-0.0780325200844948,-0.07007424939748774,-0.06231429439109226,-0.06731653823242312,-0.06050138726784826,-0.06434041510558486,-0.0674076162153655
2020-10-31,-0.06045559995855132,-0.057295132933584236,-0.07284196801761789,-0.06204279372094568,-0.06372806960221056,-0.06222863834033576,-0.0629202638994778,-0.06109429855713833,-0.06312471605086589,-0.06485452484930998,-0.061712951657749704,-0.05260614891075521,-0.05348000030481981,-0.04863874787631506,-0.0584924329168135,-0.06572094061784706,-0.05197689934180505,-0.06506506901552211,-0.05276577289211881,-0.05040537296845038,-0.05710011830198869,-0.06393188486650592,-0.07626833110364484,-0.06267648380687418,-0.06233683528791356,-0.06730955399957306,-0.059823718612521115,-0.07952054671539943,-0.052429924944804696,-0.058398608948088127,-0.07154632199846167,-0.06911845626013569,-0.06572186274896807,-0.06824407395376986,-0.09750764312677618,-0.07482704617693359,-0.062001381327404514,-0.07385661197204019,-0.06468912862465559,-0.054306742797371244,-0.06302114599090058,-0.06045559995855132,-0.07423604087024749,-0.03847683599644036
2020-11-30,-0.06740780038406058,-0.0489256242758902,-0.07486561375677458,-0.04904827489817143,-0.05823621112837574,-0.056548263817503774,-0.057748455708742985,-0.05087111204724859,-0.06082168813072353,-0.05350674601674865,-0.05262963292099854,-0.046215747906844906,-0.05207294453988831,-0.042750990016601764,-0.05699631821837625,-0.0950906894467407,-0.04966035090901211,-0.07091952124330936,-0.05008640235050421,-0.044795462392478336,-0.06401034733828326,-0.057540962547758645,-0.05812113105203198,-0.08130202244322648,-0.07518213075567504,-0.07515269227717314,-0.06450688174809283,-0.10210799905657097,-0.05768417683954663,-0.07277994084276018,-0.10176993437540127,-0.08728840900297319,-0.07199836125585923,-0.07524367827781453,-0.08749289897449986,-0.08504075794627197,-0.05739908001388394,-0.07938719743722544,-0.05977217011602087,-0.04603026383137421,-0.06466453374093506,-0.06740780038406058,-0.08596155751195267,-0.06447296967733207
2020-12-31,-0.035677637679155993,-0.033652655617359195,-0.04703460140384874,-0.035205573944223856,-0.03392253941895451,-0.034500777129258475,-0.03410243845288863,-0.032117370514402555,-0.03395403503222405,-0.03354369340854224,-0.034439662409825655,-0.031171754985396816,-0.030718695525741135,-0.027695803349415016,-0.03558325890539671,-0.049283531543334425,-0.028771106211428865,-0.040471050673512976,-0.03143751027394681,-0.03066281215731015,-0.040705692737266874,-0.03848793969153297,-0.04609560191172235,-0.04092501792226777,-0.035291621849099175,-0.04337962121566896,-0.03490253186600312,-0.060157513101692706,-0.032343190287426826,-0.03856622230807516,-0.0476582150563426,-0.050209928275359306,-0.04408463701022147,-0.050000318726200144,-0.0883380240570577,-0.048675408636127515,-0.03663319947286481,-0.048509934273823774,-0.0398994108858457,-0.03149704587248814,-0.036096889891362505,-0.035677637679155993,-0.04766880372294369,-0.07711636361299645
2021-01-31,-0.07107107777376842,-0.0680254776369249,-0.0913269185646639,-0.06549563777412948,-0.07364672175395659,-0.07022311357061395,-0.06660491825043535,-0.06694148990996263,-0.060993603754058934,-0.06927714592828027,-0.07122856218941487,-0.05573536364375231,-0.057311126929238454,-0.0418658566053951,-0.06616265343884231,-0.07863517822031407,-0.054498760709293714,-0.07933931017838758,-0.05334762340189725,-0.059350464818631155,-0.06776430522924293,-0.07672641879942876,-0.0934056031908298,-0.08276570484641077,-0.07226361875977172,-0.0799229649067783,-0.07189092391880914,-0.09938621448803764,-0.07230454916931428,-0.07630417629376685,-0.08444026116715775,-0.08304800176615257,-0.06991473041937113,-0.07434432876136876,-0.1378491697822235,-0.08416999982203488,-0.06985648125136434,-0.0896373101427883,-0.07438886049701332,-0.06071600622759932,-0.06807616792670301,-0.07107107777376842,-0.07680921459088275,-0.03351401684223043
2021-02-28,-0.04771268208998902,-0.053159371342654804,-0.05967799724108025,-0.05590293345403008,-0.051813174689821495,-0.052071659628652456,-0.04916056482000053,-0.049577029715695886,-0.04352398060963869,-0.04980800941045771,-0.049814396131448224,-0.042961178094803154,-0.0422559660210986,-0.04080503741556418,-0.04663781288115454,-0.05272302813156682,-0.03685766381838418,-0.06376332470055845,-0.048676693428473916,-0.04533404525472218,-0.05470040182123381,-0.048677592002734915,-0.07369411697728112,-0.057586836898794846,-0.048145492569046766,-0.05291749899805498,-0.05154210527289871,-0.07164344596266625,-0.05412859428963279,-0.0479151528411258,-0.06136011839071376,-0.05779857801165755,-0.05241813926616057,-0.056745649252201935,-0.12094416342497494,-0.054978583536434145,-0.05155155239275633,-0.06208899810496671,-0.056715915260775684,-0.04714182159814684,-0.052059095495930796,-0.04771268208998902,-0.04962953113211965,-0.03046727637560076
